Dataset,FBG,Peak,Threshold,Derivative,ChangePoint,Methods_Detected,Methods_Not_Detected,Final_Result
Expert 7,FBG1,NO,NO,NO,NO,0,4,NO IMPACT
Expert 7,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 7,FBG3,NO,NO,NO,NO,0,4,NO IMPACT
Expert 8,FBG1,YES,YES,YES,NO,3,1,IMPACT
Expert 8,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 8,FBG3,NO,NO,NO,NO,0,4,NO IMPACT
Expert 9,FBG1,YES,YES,YES,NO,3,1,IMPACT
Expert 9,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 9,FBG3,YES,YES,YES,NO,3,1,IMPACT
Expert 10,FBG1,YES,YES,NO,NO,2,2,IMPACT
Expert 10,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 10,FBG3,NO,NO,NO,NO,0,4,NO IMPACT
Expert 11,FBG1,NO,NO,NO,NO,0,4,NO IMPACT
Expert 11,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 11,FBG3,NO,NO,NO,NO,0,4,NO IMPACT
Expert 12,FBG1,NO,NO,NO,NO,0,4,NO IMPACT
Expert 12,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 12,FBG3,NO,NO,NO,NO,0,4,NO IMPACT
Expert 13,FBG1,NO,NO,NO,NO,0,4,NO IMPACT
Expert 13,FBG2,YES,YES,YES,YES,4,0,IMPACT
Expert 13,FBG3,YES,YES,NO,NO,2,2,IMPACT
