Dataset,Expert_Num,Sensor,Material,Impact_Status,Methods_Detected,baseline_nm,noise_std_nm,peak_shift_signed,peak_shift_abs,peak_time,residual_shift_signed,residual_shift_abs,recovered_level,rise_time_seconds,recovery_time_seconds,recovery_timestamp,peak_width_seconds,max_slope_pos,max_slope_neg,max_slope_abs,rms,signal_energy,peak_to_peak,variance,std_dev,entropy,auc_signed,auc_abs
Expert 7,7,FBG1,Copper,NO IMPACT,0,-0.0002851393941871,0.0017834917692829298,,,,,,,,,,,,,,,,,,,,,
Expert 7,7,FBG2,Bare,IMPACT,4,-8.070722622830237e-05,0.00046116117486030725,-0.0018651398601184977,0.0018651398601184977,5.619944,-0.0008812004662217477,0.0008812004662217477,-0.0008812004662217477,0.45467500249366744,0.11999899999999997,5.739943,,0.027717948718084973,-0.06945920745939839,0.06945920745939839,0.001029583345492438,6.195146439197367e-07,0.0027886247086496,6.674138748291063e-07,0.0008169540224695061,1.9575437330180632,-0.00037725114772947275,0.0005059422199052
Expert 7,7,FBG3,Steel,NO IMPACT,0,1.982867126761115e-05,0.0007984094755174708,,,,,,,,,,,,,,,,,,,,,
Expert 8,8,FBG1,Copper,IMPACT,3,0.0003099263398896,0.0016965229370373704,0.0057417832167847,0.0057417832167847,10.759892,-0.0011398484848212501,0.0011398484848212501,-0.0011398484848212501,0.011033688846879386,0.03999999999999915,10.799892,,0.06403729603769068,-0.11558741258801744,0.11558741258801744,0.004785934066138366,1.5378335970782747e-06,0.0026503263403288998,1.40723213958604e-06,0.0011862681566939407,0.8112781244591328,0.00029842470862488467,0.00029842470862488467
Expert 8,8,FBG2,Bare,IMPACT,4,1.1622144440410077e-05,0.0006971503146262993,0.02181247086240579,0.02181247086240579,13.879861,-0.00145360139858316,0.00145360139858316,-0.00145360139858316,0.04845734682201552,20.279797000000002,34.159658,20.033267665233495,0.03864024339481077,-0.0451916892325789,0.0451916892325789,0.01903956404487895,0.00757966820509476,0.017932424242316,6.538724801915296e-06,0.0025570930373991665,4.113756201777319,0.3944671797305449,0.3944671797305449
Expert 8,8,FBG3,Steel,NO IMPACT,0,9.400279733124431e-05,0.0010047466153608165,,,,,,,,,,,,,,,,,,,,,
Expert 9,9,FBG1,Copper,IMPACT,3,-0.00012668787845754998,0.001989880748178838,0.00965170163169065,0.00965170163169065,24.219757,0.0008083799533132,0.0008083799533132,0.0008083799533132,0.6778934145292865,0.03999999999999915,24.259757,,0.1077167832165373,-0.15799650349744335,0.15799650349744335,0.004110460913628181,1.2669826411010403e-05,0.0146505128205957,1.3951988347025438e-05,0.0037352360497062884,2.18507890134319,0.0014163844351631552,0.002361488746529514
Expert 9,9,FBG2,Bare,IMPACT,4,3.2612121172502376e-05,0.0005737558321535924,-0.037466596736558104,0.037466596736558104,23.899761,,,,0.0,,,,0.03304195804116323,-0.03506031706638326,0.03506031706638326,0.03568061916537034,0.004455172366097266,0.0032090442890099977,3.562248408342778e-07,0.0005968457429137597,3.0948786708768115,-0.12485447458785001,0.12485447458785001
Expert 9,9,FBG3,Steel,IMPACT,3,7.421958050869968e-05,0.0010052995664133761,-0.002689778554872,0.002689778554872,26.799731,-0.0005165151515397996,0.0005165151515397996,-0.0005165151515397996,0.11610738574132284,0.0,26.799731,,0.04396030646906629,-0.05483257846000725,0.05483257846000725,0.001052291225729289,3.4760208221033403e-06,0.0039993006994081,5.239872687907007e-07,0.0007238696490326836,3.220586349950632,-0.0024523286547424267,0.0028409943238557117
Expert 10,10,FBG1,Copper,IMPACT,2,-2.511841522987216e-05,0.0021212066223630695,0.008246596736562972,0.008246596736562972,10.319897,-0.0013207808858064778,0.0013207808858064778,-0.0013207808858064778,3.010635092285817,0.03999900000000167,10.359896,,0.13282400932441446,-0.1351130536141709,0.1351130536141709,0.0027057077002700606,2.2110186949696643e-05,0.0133374592074843,7.101182771490312e-06,0.0026648044527676534,2.9806762880734166,0.0014945158479582972,0.006748976107250535
