Feature,Source,Impact_Only,Bare_n,Bare_Mean,Bare_SD,Bare_CV_pct,Bare_CI_95_Lower,Bare_CI_95_Upper,Copper_n,Copper_Mean,Copper_SD,Copper_CV_pct,Copper_CI_95_Lower,Copper_CI_95_Upper,Steel_n,Steel_Mean,Steel_SD,Steel_CV_pct,Steel_CI_95_Lower,Steel_CI_95_Upper
peak_shift_abs,Phase5_Impact,True,7,0.019939720279698758,0.013271648864450876,66.55885177066978,0.0076654922542413635,0.032213948305156156,3,0.007880027195012733,0.00198056694519506,25.1340115481906,0.0029600261558075354,0.012800028234217931,2,0.0025643473193772996,0.00017738655438181826,6.917415322074742,0.0009705923608702993,0.0041581022778843
residual_shift_abs,Phase5_Impact,True,4,0.004238942307707549,0.004198464625733971,99.0450994838977,-0.0024417518103081615,0.01091963642572326,3,0.0010896697746469333,0.00025985978165356797,23.847571778134878,0.0004441422912740985,0.0017351972580197683,2,0.0004692132867221,6.689493875058866e-05,14.25682960043891,-0.00013181389205318413,0.0010702404654973842
rise_time_seconds,Phase5_Impact,True,7,0.22599421502169662,0.308531221902845,136.52173436086602,-0.05934957377852065,0.5113380038219139,3,1.2331873985539943,1.5750129210259627,127.71886275133728,-2.6793615950606444,5.145736392168633,2,0.0580536928706614,0.08210031980353161,141.42135623730948,-0.6795884144349674,0.7956958001762903
recovery_time_seconds,Phase5_Impact,True,4,10.79489175,9.45193676056117,87.55934732334087,-4.245248860711577,25.835032360711576,3,0.0399996666666666,5.77350267743975e-07,0.001443387697590753,0.03999823244909361,0.04000110088423959,2,0.02,0.0282842712474619,141.4213562373095,-0.23412409472349385,0.27412409472349386
peak_width_seconds,Phase5_Impact,True,3,12.409525765462499,10.742907402938958,86.56984647099101,-14.277335648019966,39.096387178944966,0,,,,,,1,1.738076195439989,,,,
max_slope_abs,Phase5_Impact,True,7,0.13326793563204617,0.11768268876827909,88.30532881757989,0.02442960127406757,0.24210626999002477,3,0.13623232323321052,0.021226688891606865,15.581242680028124,0.0835023048619781,0.18896234160444295,2,0.052209412772821595,0.003709716491169616,7.105455308052737,0.01887893249453297,0.08553989305111022
rms,Phase5_Impact,True,7,0.015421358575884798,0.012432440727558629,80.61832338818644,0.003923268627786105,0.02691944852398349,3,0.0038673675600121335,0.0010612050778443353,27.439984986609495,0.0012311880062380754,0.0065035471137861916,2,0.0009730452020654001,0.00011207080142948514,11.517532915387898,-3.3870999134586995e-05,0.001979961403265387
signal_energy,Phase5_Impact,True,7,0.0025029778112320884,0.0027959623820092323,111.70544019457058,-8.285611022634202e-05,0.005088811732690519,3,1.2105948985928441e-05,1.0297761840765927e-05,85.06364806869506,-1.3475109549341697e-05,3.768700752119858e-05,2,2.4083180661288e-06,1.5099597180823262e-06,62.6976867930688,-1.1158131748661679e-05,1.5974767880919278e-05
peak_to_peak,Phase5_Impact,True,7,0.01567622044621703,0.012781794822872164,81.53620234370112,0.0038550318484101165,0.027497409044023945,3,0.010212766122802934,0.006582089261426556,64.4496229746234,-0.006138050033613651,0.026563582279219518,2,0.00436738927740635,0.0005205558591597518,11.919154123785663,-0.0003096195556868209,0.009044398110499521
variance,Phase5_Impact,True,7,1.7256717269888282e-05,3.964952371917942e-05,229.76284016870903,-1.9412976164630262e-05,5.392641070440683e-05,3,7.4868010860339296e-06,6.28126206979186e-06,83.8978089254847,-8.11671889892296e-06,2.309032107099082e-05,2,6.654008317186989e-07,1.9998897859627637e-07,30.05541458066926,-1.1314288513163715e-06,2.4622305147537694e-06
std_dev,Phase5_Impact,True,7,0.002629996430467314,0.0034732034281389104,132.06114608763062,-0.0005821809930906135,0.005842173854025242,3,0.0025287695530559003,0.0012799173607528614,50.614234863993076,-0.0006507214307142342,0.005708260536826035,2,0.00081104906239085,0.00012329030873096727,15.20133792739074,-0.00029667041251867717,0.001918768537300377
entropy,Phase5_Impact,True,7,3.3105664548183205,0.7074754523020483,21.370223554109977,2.6562607907173854,3.9648721189192555,3,1.99234443795858,1.0974661854040755,55.084159369981954,-0.7339127005744632,4.718601576491623,2,3.046084502408968,0.24678287945258334,8.10164259256161,0.8288283007038433,5.263340704114093
auc_abs,Phase5_Impact,True,7,0.12482030132703283,0.14075462677098513,112.76581235147312,-0.005356016798205979,0.25499661945227164,3,0.0031362965208016,0.0032943358438207782,105.03904276814953,-0.005047287384004442,0.011319880425607642,2,0.0020242861137774,0.0011549998271941867,57.05714322363799,-0.008352975613192253,0.01240154784074705
baseline_nm,Phase5_Baseline,False,7,1.0134165828920445e-05,7.172498030949273e-05,707.7541607302999,-5.620037725850937e-05,7.646870891635025e-05,7,-8.868032011268875e-06,0.00018583203926741268,2095.5273845569154,-0.00018073400342900734,0.00016299793940646962,7,-1.0270429602520915e-05,0.00010841935183195267,1055.645732729045,-0.00011054160617970054,9.000074697465871e-05
