File,Dataset,Expert_Num,Sensor,FBG,Material,Impact_Status,DSTI,DSTI_valid_components,DSTI_Status,IPI,IPI_valid_components,IPI_Status,SERI,SERI_valid_components,SERI_Status,PEI,PEI_valid_components,PEI_Status,Time_Domain_Subscore,Frequency_Domain_Subscore,Wavelet_Domain_Subscore,MDISI,MDISI_valid_domains,MDISI_Status,RSI,RSI_Status
RVCE mechanical strain expert7.20260327121446_FINAL_FILTERED.csv,Expert 7,7,FBG1,FBG1,Copper,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert7.20260327121446_FINAL_FILTERED.csv,Expert 7,7,FBG2,FBG2,Bare,IMPACT,0.3193633825996726,3,VALID,0.2391876433334105,2,VALID,0.002072807375453149,4,VALID,0.09940828303162995,3,VALID,0.028254105789871167,0.34887284499030047,0.05693847328153663,0.14468847468723608,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert7.20260327121446_FINAL_FILTERED.csv,Expert 7,7,FBG3,FBG3,Steel,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert8.20260327121511_FINAL_FILTERED.csv,Expert 8,8,FBG1,FBG1,Copper,IMPACT,0.4535522143803452,3,VALID,0.10024530454456068,2,VALID,0.02800162425302042,4,VALID,0.11433354526671004,3,VALID,0.1190820110594228,0.4829345623978659,0.12026064866264052,0.24075907403997643,3,VALID,0.7227600838902132,VALID
RVCE mechanical strain expert8.20260327121511_FINAL_FILTERED.csv,Expert 8,8,FBG2,FBG2,Bare,IMPACT,0.5254455422431104,3,VALID,0.5333204204088684,2,VALID,0.7370800320354371,4,VALID,0.17470604764487616,3,VALID,0.5285149002658054,0.481279808779856,0.16700441136588948,0.39226637347051696,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert8.20260327121511_FINAL_FILTERED.csv,Expert 8,8,FBG3,FBG3,Steel,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert9.20260327121636_FINAL_FILTERED.csv,Expert 9,9,FBG1,FBG1,Copper,IMPACT,0.4611671289215224,3,VALID,0.042863790360161656,2,VALID,0.10858745067496282,4,VALID,0.12912371370364278,3,VALID,0.17568135420158154,0.37779626771275815,0.1111469120241949,0.22154151131284486,3,VALID,0.7227600838902132,VALID
RVCE mechanical strain expert9.20260327121636_FINAL_FILTERED.csv,Expert 9,9,FBG2,FBG2,Bare,IMPACT,0.6666666666666666,3,VALID,,0,INSUFFICIENT_DATA,0.47983560209729476,4,VALID,0.2881618465599606,2,VALID,0.6469364109332676,0.6025229275637349,0.5,0.5831531128323342,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert9.20260327121636_FINAL_FILTERED.csv,Expert 9,9,FBG3,FBG3,Steel,IMPACT,0.3491049417469252,3,VALID,0.09601443780643863,2,VALID,0.012262064637023305,4,VALID,0.1031260975570333,3,VALID,0.022703390054217752,0.3735610030774126,0.06695829783415176,0.15440756365526068,3,VALID,0.8070667734433253,VALID
RVCE mechanical strain expert10.20260327121942_FINAL_FILTERED.csv,Expert 10,10,FBG1,FBG1,Copper,IMPACT,0.16553794327193766,3,VALID,0.08106653941571533,2,VALID,0.09242068680476558,4,VALID,0.12398592748556952,3,VALID,0.1378838576072636,0.5115724603740857,0.07688229263713137,0.2421128702061602,3,VALID,0.7227600838902132,VALID
RVCE mechanical strain expert10.20260327121942_FINAL_FILTERED.csv,Expert 10,10,FBG2,FBG2,Bare,IMPACT,0.6721730748808619,3,VALID,0.7600348332097109,2,VALID,0.4012639656504633,4,VALID,0.10233120104249797,3,VALID,0.43585274281543285,0.5508702949354158,0.3102250586029073,0.4323160321179187,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert10.20260327121942_FINAL_FILTERED.csv,Expert 10,10,FBG3,FBG3,Steel,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert11.20260327122058_FINAL_FILTERED.csv,Expert 11,11,FBG1,FBG1,Copper,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert11.20260327122058_FINAL_FILTERED.csv,Expert 11,11,FBG2,FBG2,Bare,IMPACT,0.4457980465733545,3,VALID,,0,INSUFFICIENT_DATA,0.10894654892448122,4,VALID,0.04319994640446057,2,VALID,0.14851158799079964,0.1421357129838512,0.01526968554059192,0.10197232883841427,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert11.20260327122058_FINAL_FILTERED.csv,Expert 11,11,FBG3,FBG3,Steel,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert12.20260327122213_FINAL_FILTERED.csv,Expert 12,12,FBG1,FBG1,Copper,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert12.20260327122213_FINAL_FILTERED.csv,Expert 12,12,FBG2,FBG2,Bare,IMPACT,0.809427150729401,3,VALID,0.2662842540700766,2,VALID,0.2099834549343869,4,VALID,0.13574143726679688,3,VALID,0.40329284072808114,0.3554190854529634,0.11076902674545161,0.2898269843088321,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert12.20260327122213_FINAL_FILTERED.csv,Expert 12,12,FBG3,FBG3,Steel,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert13.20260327122313_FINAL_FILTERED.csv,Expert 13,13,FBG1,FBG1,Copper,NO IMPACT,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,0,NOT_APPLICABLE,,,,,0,NOT_APPLICABLE,,NOT_APPLICABLE
RVCE mechanical strain expert13.20260327122313_FINAL_FILTERED.csv,Expert 13,13,FBG2,FBG2,Bare,IMPACT,0.6307882697827419,3,VALID,,0,INSUFFICIENT_DATA,0.5587529105517541,4,VALID,0.23842433462698084,2,VALID,0.550871384492941,0.5616586694962448,0.06580467115403707,0.3927782417144076,3,VALID,0.4940412075086676,VALID
RVCE mechanical strain expert13.20260327122313_FINAL_FILTERED.csv,Expert 13,13,FBG3,FBG3,Steel,IMPACT,0.35406427479341646,3,VALID,0.08748188554944286,2,VALID,0.015155328862554069,4,VALID,0.10196116044323934,3,VALID,0.015571992083769068,0.4969046737567676,0.2533645510269942,0.25528040562251025,3,VALID,0.8070667734433253,VALID
