Material,Index,n,Mean,Median,SD,Min,Max,CV_pct,CI_95_Lower,CI_95_Upper,Missing_Invalid_Count,Interpretation_Notes
Bare,DSTI,7,0.5813803047822584,0.6307882697827419,0.16336447772233967,0.3193633825996726,0.809427150729401,28.099417262427522,0.43029336213455527,0.7324672474299616,0,Dynamic Strain Transfer Index measures strain sensitivity and response speed.
Copper,DSTI,3,0.3600857621912685,0.4535522143803452,0.16852636919950803,0.16553794327193766,0.4611671289215224,46.80173083599764,-0.058556946956400735,0.7787284713389377,0,Dynamic Strain Transfer Index measures strain sensitivity and response speed.
Steel,DSTI,2,0.3515846082701708,0.3515846082701708,0.003506778027336513,0.3491049417469252,0.35406427479341646,0.9974208042241068,0.32007745774773505,0.38309175879260654,0,Dynamic Strain Transfer Index measures strain sensitivity and response speed.
Bare,PEI,7,0.1545675852253147,0.13574143726679688,0.08545301050369228,0.04319994640446057,0.2881618465599606,55.28520768382749,0.075536731779998,0.23359843867063138,0,Packaging Efficiency Index measures sensing capability retained after packaging.
Copper,PEI,3,0.12248106215197412,0.12398592748556952,0.007509043571081695,0.11433354526671004,0.12912371370364278,6.130779272443357,0.10382756383810487,0.14113456046584336,0,Packaging Efficiency Index measures sensing capability retained after packaging.
Steel,PEI,2,0.10254362900013632,0.10254362900013632,0.0008237349328195876,0.10196116044323934,0.1031260975570333,0.8033019124167066,0.0951426642636692,0.10994459373660344,0,Packaging Efficiency Index measures sensing capability retained after packaging.
Bare,IPI,4,0.44970678775551665,0.3998023372394725,0.24580267925900243,0.2391876433334105,0.7600348332097109,54.65843210546184,0.05857987353712413,0.8408337019739092,3,Impact Persistence Index captures residual strain retention relative to peak shift.
Copper,IPI,3,0.07472521144014589,0.08106653941571533,0.02921162222290815,0.042863790360161656,0.10024530454456068,39.092056964343755,0.0021595190557150146,0.14729090382457677,0,Impact Persistence Index captures residual strain retention relative to peak shift.
Steel,IPI,2,0.09174816167794075,0.09174816167794075,0.00603342556175029,0.08748188554944286,0.09601443780643863,6.576072426310992,0.03753998372709375,0.14595633962878776,0,Impact Persistence Index captures residual strain retention relative to peak shift.
Bare,SERI,7,0.3568479030813244,0.4012639656504633,0.261830250578949,0.002072807375453149,0.7370800320354371,73.37306687753711,0.11469530905233619,0.5990004971103127,0,Signal Energy Response Index quantifies overall impact magnitude/energy across signal representations.
Copper,SERI,3,0.07633658724424962,0.09242068680476558,0.04263264651685725,0.02800162425302042,0.10858745067496282,55.84824794491809,-0.029568777718684422,0.18224195220718364,0,Signal Energy Response Index quantifies overall impact magnitude/energy across signal representations.
Steel,SERI,2,0.013708696749788687,0.013708696749788687,0.0020458467536372477,0.012262064637023305,0.015155328862554069,14.923714419963249,-0.004672507053305576,0.03208990055288295,0,Signal Energy Response Index quantifies overall impact magnitude/energy across signal representations.
Bare,RSI,7,0.49404120750866765,0.4940412075086676,5.99588961666477e-17,0.4940412075086676,0.4940412075086676,1.2136416002423394e-14,0.4940412075086676,0.4940412075086677,0,Response Stability Index captures material repeatability derived from Phase 7 feature CVs.
Copper,RSI,3,0.7227600838902132,0.7227600838902132,0.0,0.7227600838902132,0.7227600838902132,0.0,0.7227600838902132,0.7227600838902132,0,Response Stability Index captures material repeatability derived from Phase 7 feature CVs.
Steel,RSI,2,0.8070667734433253,0.8070667734433253,0.0,0.8070667734433253,0.8070667734433253,0.0,0.8070667734433253,0.8070667734433253,0,Response Stability Index captures material repeatability derived from Phase 7 feature CVs.
Bare,MDISI,7,0.3338573639956657,0.39226637347051696,0.1684339506962372,0.10197232883841427,0.5831531128323342,50.450871797581165,0.17808194082184017,0.4896327871694912,0,"Multi-Domain Impact Signature Index combines time, frequency, and wavelet response subscores."
Copper,MDISI,3,0.23480448518632716,0.24075907403997643,0.011506000521093296,0.22154151131284486,0.2421128702061602,4.900247332142231,0.20622199538081457,0.2633869749918398,0,"Multi-Domain Impact Signature Index combines time, frequency, and wavelet response subscores."
Steel,MDISI,2,0.20484398463888548,0.20484398463888548,0.07132787059260114,0.15440756365526068,0.25528040562251025,34.82058343980338,-0.43601150655193094,0.8456994758297018,0,"Multi-Domain Impact Signature Index combines time, frequency, and wavelet response subscores."
