Expert,FBG,Material,Impact_Status,z1,z2
Expert 7,FBG2,Bare,IMPACT,2.1163466,-0.35370672
Expert 8,FBG1,Copper,IMPACT,3.6506445,-1.2854633
Expert 8,FBG2,Bare,IMPACT,0.53541535,2.217157
Expert 9,FBG1,Copper,IMPACT,1.3991195,-1.2678738
Expert 9,FBG2,Bare,IMPACT,-1.2556878,3.6396563
Expert 9,FBG3,Steel,IMPACT,1.5031662,-0.37216493
Expert 10,FBG1,Copper,IMPACT,2.837093,-2.7991588
Expert 10,FBG2,Bare,IMPACT,0.28991148,0.5191854
Expert 11,FBG2,Bare,IMPACT,-1.4783412,-2.6033175
Expert 12,FBG2,Bare,IMPACT,0.37002194,-0.3753167
Expert 13,FBG2,Bare,IMPACT,-2.5774252,-1.9451993
Expert 13,FBG3,Steel,IMPACT,3.072198,1.327006
