Feature,Reconstruction_MSE,Reconstruction_R2,Original_Mean,Original_Std,Reconstructed_Mean,Reconstructed_Std
peak_shift_abs,0.0013722208394031064,0.9986277791605983,-9.251858538542972e-17,0.9999999999999999,-0.005270232912153006,1.0085207223892212
rise_time_seconds,0.04165427115703504,0.9583457288430066,3.700743415417188e-17,0.9999999999999998,-0.006111403461545706,0.9642331004142761
signal_energy,0.0035019138300838824,0.9964980861699196,-9.251858538542972e-17,0.9999999999999999,-0.007155060768127441,0.9951329827308655
rms,0.006397204119509537,0.9936027958804968,-4.625929269271486e-17,0.9999999999999999,0.001119181513786316,0.9899861812591553
peak_to_peak,0.0045589711375195975,0.995441028862485,-9.251858538542972e-17,0.9999999999999998,0.0019655327778309584,1.0018874406814575
std_dev,0.001166893783464203,0.998833106216537,-9.251858538542972e-17,0.9999999999999998,0.00821357499808073,0.9983855485916138
entropy,0.039597319192728,0.9604026808073116,-1.4802973661668753e-16,1.0,-0.012053161859512329,0.9759360551834106
max_slope_abs,0.014780933003382886,0.9852190669966319,9.25185853854297e-18,0.9999999999999999,0.020288169384002686,0.9978511929512024
auc_abs,0.005501511209045746,0.9944984887909598,-9.25185853854297e-18,1.0,-0.014618903398513794,1.003548502922058
noise_std_nm,0.09849322454700395,0.9015067754530945,-3.2381504884900397e-16,1.0,0.0010646084556356072,0.952530562877655
Dominant_Frequency,0.003618562601658123,0.9963814373983455,5.551115123125783e-17,1.0,-0.003830085275694728,0.989928662776947
Spectral_Energy,0.002330190820747134,0.9976698091792552,-5.551115123125783e-17,0.9999999999999999,-0.0006092886324040592,0.9931198954582214
Spectral_Entropy,0.04892096676559426,0.9510790332344546,-2.0261570199409107e-15,0.9999999999999999,0.020444756373763084,0.9613838791847229
Spectral_Centroid,0.026244323081230075,0.9737556769187962,1.6190752442450199e-16,0.9999999999999998,0.014611616730690002,0.9695200324058533
Bandwidth,0.04852138441217379,0.9514786155878747,-1.4779844015322396e-15,1.0,-0.015496696345508099,0.9781928658485413
Approximation_Energy,0.005934040866165041,0.9940659591338409,0.0,0.9999999999999998,-0.009676995687186718,0.9965372085571289
Detail_Energy,0.03176784314614169,0.9682321568538901,-1.850371707708594e-17,1.0,0.011303062550723553,0.9435169696807861
Wavelet_Energy,0.004892885799460039,0.9951071142005449,-7.864079757761526e-17,0.9999999999999999,0.00012883543968200684,0.9929104447364807
Wavelet_Entropy,0.005903741163107876,0.994096258836898,7.401486830834377e-17,1.0,-0.0005762080545537174,0.9909194707870483
Detail_Approx_Ratio,0.040710204055532884,0.9592897959445078,0.0,1.0,-0.019861975684762,0.9327020645141602
DSTI,0.009967399727188818,0.9900326002728211,-1.6653345369377348e-16,1.0,-0.005487129092216492,0.9950914978981018
PEI,0.009158160140513657,0.9908418398594955,-7.864079757761526e-17,1.0,0.007244214415550232,1.006091594696045
SII,0.04310776069291572,0.9568922393071274,1.8503717077085943e-16,0.9999999999999999,-0.0017354140290990472,0.9780834317207336
DRI,0.008410989357711472,0.991589010642297,3.700743415417188e-17,1.0,0.008934701792895794,0.990959107875824
