Rank,Feature,Domain,Composite_Importance_Score,Gini_Importance,Permutation_Importance_Mean,Mean_Abs_Shapley_Value,Direction_of_Effect,Engineering_Interpretation
1,Wavelet_Energy,Phase 6 Wavelet,0.8252427184225665,0.12076994461576533,0.0,0.0028666666666666662,Elevated in Bare (Direct Strain Transfer),Total multi-scale discrete wavelet transform energy across decomposition levels.
2,Approximation_Energy,Phase 6 Wavelet,0.7418824820002707,0.0777448489202046,0.0,0.006666666666666667,Elevated in Bare (Direct Strain Transfer),Low-frequency baseline wavelet energy corresponding to bulk flexural deformation.
3,noise_std_nm,Phase 5 Time-Domain,0.7210196564349014,0.07263788656498425,0.0,0.006866666666666669,Elevated in Packaged (Buffering & Stiffness),Pre-impact optical baseline noise level reflecting intrinsic interrogation stability.
4,rms,Phase 5 Time-Domain,0.6018017187049628,0.06513465997643655,0.0,0.005133333333333332,Elevated in Bare (Direct Strain Transfer),Root mean square amplitude reflecting effective dynamic deformation energy over the impact event.
5,auc_abs,Phase 5 Time-Domain,0.5469962348835242,0.04713647956347883,0.0,0.006266666666666666,Elevated in Bare (Direct Strain Transfer),Absolute area under the curve; measure of total integrated impulse.
6,SII,Phase 8 Physics-Guided,0.5269746274831828,0.05875748697615812,0.0,0.004266666666666668,Elevated in Bare (Direct Strain Transfer),Signal Integrity Index reflecting optical signal-to-noise quality and baseline stability.
7,signal_energy,Phase 5 Time-Domain,0.4686854608072655,0.05573608733541093,0.0,0.0033333333333333322,Elevated in Bare (Direct Strain Transfer),"Cumulative energy of the transient strain burst; elevated in direct, unbuffered impacts."
8,Wavelet_Entropy,Phase 6 Wavelet,0.46007557481211103,0.057265697715924074,0.0,0.0029333333333333334,Elevated in Packaged (Buffering & Stiffness),Distribution complexity across wavelet sub-bands.
9,Detail_Approx_Ratio,Phase 6 Wavelet,0.4210535879090224,0.05204082366371435,0.0,0.002733333333333332,Elevated in Packaged (Buffering & Stiffness),Ratio of high-frequency shock content to bulk deformation; elevated in rigid packaging.
10,peak_shift_abs,Phase 5 Time-Domain,0.3968785617921188,0.059427676805376646,0.0,0.0011999999999999995,Elevated in Bare (Direct Strain Transfer),Peak wavelength excursion directly proportional to maximum mechanical strain transfer.
11,max_slope_abs,Phase 5 Time-Domain,0.3062775901041924,0.044298937929970625,0.0,0.0011333333333333323,Elevated in Bare (Direct Strain Transfer),Peak strain rate of change; measures structural velocity of impact onset.
12,std_dev,Phase 5 Time-Domain,0.259887901830389,0.035290374609970906,0.0,0.0012666666666666653,Elevated in Bare (Direct Strain Transfer),Standard deviation of dynamic strain oscillations.
13,PEI,Phase 8 Physics-Guided,0.25148653631054024,0.02982081830986865,0.0,0.0018000000000000013,Elevated in Bare (Direct Strain Transfer),Packaging Efficiency Index quantifying dynamic attenuation and mechanical damping capacity.
14,Detail_Energy,Phase 6 Wavelet,0.23475135491312482,0.02492348200803366,0.0,0.0020666666666666667,Elevated in Bare (Direct Strain Transfer),High-frequency transient wavelet sub-band energy indicative of sharp shock waves.
15,entropy,Phase 5 Time-Domain,0.2326035534007989,0.034603128485382474,0.0,0.0007333333333333344,Elevated in Bare (Direct Strain Transfer),Information entropy of the raw optical strain time series.
16,DSTI,Phase 8 Physics-Guided,0.21527453729801538,0.030608359120554245,0.0,0.0008666666666666675,Elevated in Bare (Direct Strain Transfer),Dynamic Strain Transfer Index capturing strain transfer magnitude and dynamic response speed.
17,Spectral_Energy,Phase 6 Spectral FFT,0.19364479379331123,0.02436406122613019,0.0,0.001199999999999998,Elevated in Bare (Direct Strain Transfer),Total power spectral density magnitude across all Fourier frequencies.
18,Spectral_Centroid,Phase 6 Spectral FFT,0.17077895801375262,0.02041905305368255,0.0,0.0011999999999999986,Elevated in Packaged (Buffering & Stiffness),Center frequency of the vibration power spectrum; higher in stiffened packaging (Steel).
19,Spectral_Entropy,Phase 6 Spectral FFT,0.15971385051787684,0.01800749656847218,0.0,0.0012666666666666666,Elevated in Packaged (Buffering & Stiffness),Flatness and complexity of the spectral distribution; high entropy implies broadband shock.
20,rise_time_seconds,Phase 5 Time-Domain,0.153056750854427,0.024396609775920116,0.0,0.00026666666666666744,Elevated in Packaged (Buffering & Stiffness),Duration from impact onset to peak deformation; shorter in direct coupling.
21,DRI,Phase 8 Physics-Guided,0.1251477757297641,0.01706896551724138,0.0,0.0006000000000000006,Elevated in Packaged (Buffering & Stiffness),"Dynamic Response Index evaluating onset velocity, rise time, and recovery speed."
22,peak_to_peak,Phase 5 Time-Domain,0.10334177938514466,0.013306809844594142,0.0,0.0005999999999999989,Elevated in Bare (Direct Strain Transfer),Total span between maximum positive and negative strain excursions.
23,Bandwidth,Phase 6 Spectral FFT,0.10201548007316696,0.010565434565434564,0.0,0.0009333333333333338,Elevated in Bare (Direct Strain Transfer),Frequency spread of the optical sensor response.
24,Dominant_Frequency,Phase 6 Spectral FFT,0.03871764658272344,0.005674876847290639,0.0,0.00013333333333333318,Elevated in Packaged (Buffering & Stiffness),Primary structural resonance excited by the kinetic impact.
