Principal_Component,Eigenvalue,Explained_Variance_Ratio,Explained_Variance_Percent,Cumulative_Explained_Variance_Ratio,Cumulative_Explained_Variance_Percent
PC1,9.994596523747697,0.381738061670919,38.173806167091904,0.381738061670919,38.173806167091904
PC2,4.617207539427541,0.17635167685313527,17.635167685313526,0.5580897385240543,55.80897385240543
PC3,3.371667964341677,0.1287789847491613,12.87789847491613,0.6868687232732156,68.68687232732155
PC4,2.6482283140978313,0.1011476092190144,10.114760921901441,0.78801633249223,78.801633249223
PC5,1.7185935732903261,0.06564072675761663,6.564072675761663,0.8536570592498467,85.36570592498467
PC6,1.2489253690212765,0.047702010622340425,4.770201062234043,0.9013590698721872,90.13590698721872
PC7,1.224801450870499,0.046780610970748225,4.678061097074822,0.9481396808429354,94.81396808429355
PC8,0.6442501405389075,0.02460677620113883,2.4606776201138834,0.9727464570440743,97.27464570440742
PC9,0.47566524123724646,0.018167769630589276,1.8167769630589277,0.9909142266746636,99.09142266746636
PC10,0.194846022391524,0.007442035577454042,0.7442035577454041,0.9983562622521176,99.83562622521175
PC11,0.043036042853653804,0.0016437377478826106,0.16437377478826107,1.0000000000000002,100.00000000000003
PC12,3.0493890786131105e-32,1.1646972175258409e-33,1.1646972175258408e-31,1.0000000000000002,100.00000000000003
