,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
peak_shift_abs,0.3107834570664196,-0.033614725184394775,0.0268529652486298,0.15757295691665166,-0.1458535802153339,0.056646018892386914,-0.05923086671027861,-0.02885684725856159,-0.008213839904364435,0.16901988343378244,0.16460225228328298,0.09234923278184623
rise_time_seconds,-0.06212753692219646,-0.13778873746278356,-0.13834849382195616,0.44162061547263154,0.35946356132063545,0.02497137113465292,-0.08049981980078441,0.4165134797668557,-0.24047768872080239,0.26037499151724847,-0.09507556846262911,-0.010766589440851468
signal_energy,0.2672890636731531,0.1958789811329458,-0.1702661684394875,-0.06636279041470204,0.1429050328515497,-0.13465128654650851,0.0776706075584115,-0.15473390758059874,0.12969151643653853,0.08122231457407454,-0.10277422951577303,-0.4202363126953244
rms,0.31169956622443523,0.07138603006268286,0.06302880942229902,0.09839806194831698,-0.1075218344732646,-0.0685173420748438,-0.1318515127632541,0.1005298855042003,0.07469597049715147,0.02589589028842013,0.15116343377791921,-0.19855598450885797
peak_to_peak,0.16846492224519094,-0.3436773877647091,-0.18264871564315113,0.12906596551058336,-0.08450921982846363,-0.01990943944769927,0.2013827021240137,-0.2308993933853608,-0.03937728189557989,0.19946822980343076,-0.025058513286665262,0.5116522282606055
std_dev,0.14270048473681293,-0.3286402005253041,-0.012081638267583088,0.2677280523448289,-0.053658552586410835,-0.33747979518917004,0.1566267752914093,-0.14320612152688203,0.06391191367259719,-0.11718840610952734,-0.2779186016195995,-0.459115760868755
entropy,0.1889931502570834,-0.06032273329311051,-0.21198904521345122,-0.2179730981473508,0.18429483839720825,0.35846775957759774,0.32185651699015544,0.32522944360658046,-0.09662674504518134,-0.2670023865507807,0.4191172674495854,-0.11317992898416013
max_slope_abs,-0.03845319448161215,-0.20749152297815165,-0.2786349869931314,-0.053904189925804334,-0.2943689524388364,0.5127516220910934,-0.18811905876708893,-0.23767775278046205,-0.09105875957635594,0.4896115587479164,0.0702041704426095,-0.30829018632423016
auc_abs,0.22157133442658572,0.15521863859969276,-0.3029984207673656,-0.17291872143680323,0.15141566200049358,-0.13535553540650197,0.07500165566868242,-0.15659735871306193,0.17076699283161337,0.07922247670304657,-0.06777769489795814,0.37342213063901275
noise_std_nm,-0.15482263358249598,-0.02736297755462398,-0.09696002132422382,0.4137910127865339,0.22795383356514154,0.0982295455119562,-0.29017766160999553,-0.30401797562079724,0.4124136727998186,-0.23099538218336227,0.4150328653428753,0.040846156180281645
Dominant_Frequency,-0.13892155535655448,0.33710819327817926,-0.09485859956145963,0.06038876209278501,-0.2142008992527997,-0.3538478345781649,-0.17182867611478453,0.2280440108500449,0.03740254028960756,0.33437078387658525,0.37252456698870184,-0.04364052093310029
Spectral_Energy,0.1491342137902557,-0.3160986178430327,-0.13355013341387276,0.03417971497431948,-0.32633557829879295,-0.29806274583463505,-0.03605928239329016,0.23691512873248471,-0.02238459289086553,-0.2049501028797173,0.3007151707142887,0.029529988766716538
Spectral_Entropy,-0.015714715825236605,0.31937884901251096,-0.3010638434552396,0.20119569788157612,-0.2204426222856152,0.009150297806448176,0.2071138114668332,-0.13099386456670228,-0.31497125115914953,-0.22435896518733225,0.1029394799751138,-0.06098579862688865
Spectral_Centroid,-0.020064929770195482,0.36282323170374375,-0.24150695252701135,0.2806644344175304,-0.013870816036816136,0.05231594276302979,0.15840606428475262,-0.1514600759633577,-0.2096146267691646,-0.1343240899036873,-0.05573387949055115,0.02264376241377515
Bandwidth,0.23629061752873345,-0.05450014465459596,0.12258924396456701,0.25701043654521544,0.028777170745307157,0.3311842686688813,0.25962906272374475,0.12782502212903432,0.35883842754965023,-0.06388787788767313,-0.02481679694062817,-0.04494656346367344
Approximation_Energy,0.23610904946384673,0.2783849633011918,0.14753648096512384,0.10155458389392776,-0.015635643685761567,0.17214983671518538,-0.14630542545833536,0.12252963957273763,0.022853325773360977,0.03718030139617284,-0.17821547995543952,0.11229408051146765
Detail_Energy,0.0015180549128511556,-0.05022599035058663,-0.4024197011906837,-0.15339481646127906,-0.33672132392195925,0.1090534029714203,-0.3412851142195264,0.31462658240756913,0.2575047435485532,-0.30337693621767015,-0.350782558434902,0.0671188192996874
Wavelet_Energy,0.23672859244217784,0.2782844023386108,0.14147917311456323,0.09935990620030469,-0.0210547147559928,0.17432616795096276,-0.15212686125679994,0.12786521896277409,0.02702498566458458,0.032427121206646196,-0.1842691054667781,0.018034375220389143
Wavelet_Entropy,-0.3014055470162529,0.030307649755381687,-0.04730605490593843,0.07156039261469832,-0.21794695194150726,0.12168262744446087,0.18045299651753846,-0.06911671439550335,-0.14029007237541258,-0.14487677896891876,-0.15690002481370507,-0.023707829915508943
Detail_Approx_Ratio,-0.20507781841566797,0.09928358464913446,0.07981403616618914,0.021118682635652232,-0.23740350767316823,-0.01815426796832057,0.5563990236480382,0.22648152815746456,0.3957026990374994,0.30737402256434265,0.017870994289817605,0.006056353758951276
DSTI,0.29653678158296026,0.12660907648653263,-0.00843588871077637,-0.12886482819073106,-0.14993558414211544,-0.04291077117083135,0.038120364493875965,-0.24953077660600856,0.15009838682988805,0.015287579120016442,0.07186693719003556,-0.01952769481588599
PEI,0.22667975803391455,-0.024956405031640507,0.16742912725059522,0.3406904715147502,-0.29682142082665003,0.0076494337002742125,0.004222944165901895,0.061447994078865635,-0.19534061759503754,-0.044435413989362,-0.04866167616937233,0.1587085125582274
SII,0.27832579920386274,-0.05977895232696649,0.15796925586050745,-0.23151012395092985,0.0904617821493974,-0.04830054255066514,-0.010357492435093435,-0.028050377781384153,-0.3425776632396523,0.02685038916654079,0.11001606190186235,-0.028895695050758015
DRI,-0.1115815836703498,0.011358092455089187,0.4833888105162588,-0.022368021617725206,-0.2707615485857434,0.14774738973255408,-0.04162007397952981,-0.14413201007746018,-0.03889859972485153,-0.18183877996617642,0.13525043618865912,0.01789050135692414
