UMAP1,UMAP2,Expert,FBG,Material,Impact_Status
-3.6901274,5.9530044,Expert 7,FBG2,Bare,IMPACT
-3.0903404,6.067849,Expert 8,FBG1,Copper,IMPACT
-5.8063564,6.950308,Expert 8,FBG2,Bare,IMPACT
-3.7718318,7.4208612,Expert 9,FBG1,Copper,IMPACT
-5.782774,6.4065514,Expert 9,FBG2,Bare,IMPACT
-4.4804606,5.961514,Expert 9,FBG3,Steel,IMPACT
-3.1333632,7.0685563,Expert 10,FBG1,Copper,IMPACT
-5.1447563,7.0018563,Expert 10,FBG2,Bare,IMPACT
-4.1279716,6.759524,Expert 11,FBG2,Bare,IMPACT
-4.68522,7.3525724,Expert 12,FBG2,Bare,IMPACT
-4.6536546,7.976114,Expert 13,FBG2,Bare,IMPACT
-3.7332337,5.292866,Expert 13,FBG3,Steel,IMPACT
