UMAP1,UMAP2,Expert,FBG,Material,Impact_Status
9.291985,11.6365795,Expert 7,FBG2,Bare,IMPACT
9.15609,10.119742,Expert 8,FBG1,Copper,IMPACT
9.032501,13.433637,Expert 8,FBG2,Bare,IMPACT
9.431168,10.71727,Expert 9,FBG1,Copper,IMPACT
10.252888,13.093223,Expert 9,FBG2,Bare,IMPACT
9.988203,11.581415,Expert 9,FBG3,Steel,IMPACT
8.672858,10.748395,Expert 10,FBG1,Copper,IMPACT
9.2655115,13.955114,Expert 10,FBG2,Bare,IMPACT
9.05628,12.3316765,Expert 11,FBG2,Bare,IMPACT
9.933786,12.402489,Expert 12,FBG2,Bare,IMPACT
10.03496,13.588938,Expert 13,FBG2,Bare,IMPACT
9.683723,9.9805975,Expert 13,FBG3,Steel,IMPACT
