UMAP1,UMAP2,Expert,FBG,Material,Impact_Status
1.4456735,11.533623,Expert 7,FBG2,Bare,IMPACT
0.241937,11.282235,Expert 8,FBG1,Copper,IMPACT
0.8115165,14.312239,Expert 8,FBG2,Bare,IMPACT
-0.07226473,11.815567,Expert 9,FBG1,Copper,IMPACT
0.21946494,14.627166,Expert 9,FBG2,Bare,IMPACT
1.2764136,12.24143,Expert 9,FBG3,Steel,IMPACT
0.5381416,12.011357,Expert 10,FBG1,Copper,IMPACT
0.92588645,13.638696,Expert 10,FBG2,Bare,IMPACT
1.4978853,12.850494,Expert 11,FBG2,Bare,IMPACT
0.21654566,13.4315405,Expert 12,FBG2,Bare,IMPACT
-0.12365652,14.05976,Expert 13,FBG2,Bare,IMPACT
1.9281845,12.151781,Expert 13,FBG3,Steel,IMPACT
