UMAP1,UMAP2,Expert,FBG,Material,Impact_Status
8.541819,3.6783967,Expert 7,FBG2,Bare,IMPACT
8.836363,4.341929,Expert 8,FBG1,Copper,IMPACT
10.8469515,2.8791575,Expert 8,FBG2,Bare,IMPACT
9.531451,4.3457575,Expert 9,FBG1,Copper,IMPACT
11.469158,3.1346338,Expert 9,FBG2,Bare,IMPACT
8.600179,2.9614735,Expert 9,FBG3,Steel,IMPACT
9.260689,4.937604,Expert 10,FBG1,Copper,IMPACT
10.432777,2.4148066,Expert 10,FBG2,Bare,IMPACT
9.371884,2.6978116,Expert 11,FBG2,Bare,IMPACT
10.157239,1.9093331,Expert 12,FBG2,Bare,IMPACT
11.476093,2.5142908,Expert 13,FBG2,Bare,IMPACT
8.983888,3.5131252,Expert 13,FBG3,Steel,IMPACT
